imageCategory,imageUrl,publishedDate,quote,vol
水牛城谷仓&摄影/刘飘,http://image.wufazhuce.com/FtAxFaweoB6M2Rr1rJUJVAWTcCFG,30 Oct 2012,仓廪实而知礼节，衣食足而知荣辱。from 《管子·牧民》,23
插画/季大纯,http://image.wufazhuce.com/FkYh0lCAYiVHkDwb_w9K2Gw07BNZ,31 Oct 2012,很高兴又见到你。by 韩寒,24
小花&摄影/熊晨曦,http://image.wufazhuce.com/FuySSckT9cv9lNmv9nSz2Egg7JjI,1 Nov 2012,人世间，不离骚。by 小饭,25
kiza&插画/so.p,http://image.wufazhuce.com/FtFbbT1fhy4wXQrp3rCpkKnFlvx4,2 Nov 2012,万圣谢幕，百鬼犹存。by 贺伊曼,26
云自无心水自闲&绘画/葛冠中,http://image.wufazhuce.com/FuOo0TwzVm8HmVVVaJj9377vTfYr,3 Nov 2012,很多人可以走进你的生活，很少人可以走进你的生命。by 朱威廉,27
韩春萍&摄影/周云哲,http://image.wufazhuce.com/Fk0dYFc-rPPpNRgb1tXdhTM9ZXc3,4 Nov 2012,“喂，我还在路上。” by 韩春萍,28
少言&插画/儿粒粒,http://image.wufazhuce.com/FvdrAXby6hwNNur6dU4jzzHwxaBs,5 Nov 2012,孤独是关上灯，与发光的灵魂为伴。by 贺伊曼,29
黄昏鹿场&摄影/杜扬,http://image.wufazhuce.com/FoTWkLQwquwZvUHFuSujvGb2NzgH,6 Nov 2012,心事是很难隐藏的，把嘴巴捂住它就会从眼睛里冒出来。by 飞机,30
高墙&绘图/何禾,http://image.wufazhuce.com/Fj6L7ImpEWjnXWFSAOHTretzA2Or,7 Nov 2012,我们喜欢哪门课，考哪所大学，学什么专业，想成为什么样的自己，都可能是某个老师修改后的结果。by 咪蒙,31
应答&摄影/王轶庶,http://image.wufazhuce.com/Fu-GU3vCinQ3HEy-3Lv75pSUGDr4,8 Nov 2012,今日无事。 by 路易十六,32
归乡&插画/老树画画,http://image.wufazhuce.com/FhahORlLNs1Z8dhqrwTQ0xrWAMCt,9 Nov 2012,兄弟曾离去，似在公元前。今日归故里，不知是何年。by 老树画画,33
灯塔&摄影/唐仲,http://image.wufazhuce.com/FoXJ983CvtGZ9I4meNTZ0C6rBgnA,10 Nov 2012,我们记得应该勇敢，但承受不了这个不善良不友好不负责的世界加诸勇敢者的额外损失。by 夜X,34
编号&摄影/贺伊曼,http://image.wufazhuce.com/Ftyl2Ec9Bl3Gkvclm0P-0gxHKjYq,11 Nov 2012,世界荆棘，无鹿可逃。by 张冠仁,35
再见，童年&插画/胡曦,http://image.wufazhuce.com/Fk_oukKVxj3xLEANnWbyCRiFkAcm,12 Nov 2012,走开，让一个单身胖子悲伤一会儿。by 张冠仁,36
纱帘&摄影/张文心,http://image.wufazhuce.com/Fs6Jvy9u17SMBPgpwW1qwNdbPCUv,13 Nov 2012,"万人如海只身藏, 你和世界的距离感决定了你能得到什么。by 马一木",37
三个碱基决定一个氨基酸&插画/梁智添,http://image.wufazhuce.com/Fp1TCEybmmI7zUtJraJ1ninuItt0,14 Nov 2012,每当和自己擦不出火花，就开始痛恨太安逸。 by 金怡玉玲,38
镇江&摄影/李政德,http://image.wufazhuce.com/Fo6QoJhbup-_JwyDptYqD_8cfjjK,15 Nov 2012,我们容易被“孤零零”的意象吸引，却不愿和它们沾上半点关系。by 贺伊曼,39
马&插画/季大纯,http://image.wufazhuce.com/FmmeB20odNoqK3XAmoOyZKi38Z9s,16 Nov 2012,敏感而拙言的人们，盈积了全宇宙的辛酸与秘密。by 张冠仁,40
渡江而来的俄罗斯人&摄影/刘雯,http://image.wufazhuce.com/FiWCSBAj-z6ClfChjL5HbYbiTGIw,17 Nov 2012,有人翩翩求记住，有人起舞求忘记。from 《加州旅馆》,41
风生水起&绘图/雷磊,http://image.wufazhuce.com/FhZtFaO76D0Ae2V6QC4VvuxJnkFh,18 Nov 2012,疼痛是这个世界对你的挽留。by 何禾,42
走钢丝的鸟人&绘画/马良,http://image.wufazhuce.com/FiJil3eJM0liWeLAjY-kXi6xp1EH,19 Nov 2012,志望幼海，东望榑木。无草木，多风。是山也，广员百里。from《山海经》,43
tukale&插画/so.p,http://image.wufazhuce.com/Fms8LEyA8iSzInOHkH7sn1JhNez1,20 Nov 2012,你知道么，青春可短暂了。from《与青春有关的日子》,44
松亭&摄影/贾睿,http://image.wufazhuce.com/Fvb8KRSaGn7eGNc1-VSGL9lnhEyv,21 Nov 2012,是谁来自山川湖海，却囿于昼夜、厨房与爱。 from《揪心的玩笑与漫长的白日梦》,45
幼稚园&何禾 作品,http://image.wufazhuce.com/FjkhHgYh95vinvCEQ7xljFC1PmUg,8 Oct 2012,长假结束，万物复苏。今日宜开张。by 小饭,1
在草原上，手风琴手把自己点燃了&作者/马良,http://image.wufazhuce.com/FsapM4PSfk6OTiLld4-s8frN75g4,9 Oct 2012,再见，再次见到。嘿，朋友，我们又见面了。by 小饭,2
海岸线&作者/张晓,http://image.wufazhuce.com/FtU8MDefa-I-X1yZxeUMEd-FCdDP,10 Oct 2012,不管黑猪白猪，都是猪。不管笨猪蠢猪，在一起就不孤独。by 韩寒,3
马列毛恩斯&插画/季大纯,http://image.wufazhuce.com/FkxN25UHTgR-dynBAyfJ9oyORorU,11 Oct 2012,今日东风西渡，文曲星闪烁。宜论功过，不宜下注。by 马一木,4
木马&插画/何禾,http://image.wufazhuce.com/FvYBxecub5bfdDptL4Qfmx-_mfLd,12 Oct 2012,秋日渐短，木马来袭，请翼装飞行，勿电话会议。by 蔡蕾,5
女孩子们&摄影/罗洋,http://image.wufazhuce.com/Fk4bnBkmRq9lnzh9smIjTE2vbagT,13 Oct 2012,你想要一个熊，还是一个熊抱？这问题没那么简单。今日宜系怀旧红领巾。by 蔡蕾,6
蝙蝠&摄影/盲,http://image.wufazhuce.com/FjdxsHJW-fPFyQPkHtgR6_YHfmhp,14 Oct 2012,即使头上长出鹿角，口琴的魔力依然无法停止。今日宜留齐刘海，忌独立小桥。by 张冠仁,7
女孩子们&摄影/罗洋,http://image.wufazhuce.com/Fq7eRAoxHFEsSqwHqBwk8_XOAHbO,22 Nov 2012,他不在了，不再存在，进入他根本不知道的乌有乡。正如他当初的恐惧。by 菲利普·罗斯,46
邂逅&插画/爻木木,http://image.wufazhuce.com/FiG5RF98ATfne8RbPeX6ivw_dpAi,23 Nov 2012,世界上最强有力的人就是那最孤立的人。by 胡适,47
马拉松&绘图/Dorophy Tang,http://image.wufazhuce.com/FgG5_iE-1Ay9ROnoYkaJT2H8A1j_,24 Nov 2012,我把我的人生看作是一次长假。by 孙甘露,48
泳池&摄影/贺伊曼,http://image.wufazhuce.com/Fg7u1sm0ZMtKdH_Y3dLZdfbpc-F6,25 Nov 2012,残酷有一颗人的心，嫉妒有一张人的脸。by 威廉•布莱克,49
倾诉&绘图/儿粒粒,http://image.wufazhuce.com/Fr3rxO4gdKZ2WlH1ZD1bzBQziwTP,26 Nov 2012,如果你想让人们羡慕你，那么你就应表现出一副为你的悲哀和羞惭感到自豪的样子。by 列夫·舍斯托夫,50
窥望北韩的女孩&摄影/刘禹扬,http://image.wufazhuce.com/FiXMqxynT9k7wr_NKQsnTtPuQP-A,27 Nov 2012,英雄会成为英雄，总是因为想被人记住。by 夜X,51
安卓，我们来了&摄影/高铁女乘务员,http://image.wufazhuce.com/FpzKof3DP35-M-mld3-BFmGjr3DD,28 Nov 2012,世界上那么多纷纷扰扰，能真正和你产生关系的不多；外面那么冷，你更要记住那个帮你暖被窝的。by 韩寒,52
苍穹&绘画/葛冠中,http://image.wufazhuce.com/FggP6Y9q-hc5EZH4OD9CRgRrnQEX,29 Nov 2012,人生一大憾事是其始也至善，一日不如一日，至其终则坏无可坏。by 马克·吐温,53
快到三亚了&摄影/韩寒,http://image.wufazhuce.com/FlNcQ6ffgaA0emSpbdV9nGNhn7pc,30 Nov 2012,在我眼里没有好人坏人，只有暂时被情绪左右的未觉醒的圣人。by 陈坤,54
彼此&绘图/so. p,http://image.wufazhuce.com/FkwJn1M1lnypSoxxsOTS0_RDgNxI,1 Dec 2012,这世界上不合理的事太多了。浴缸洗完我，我还要洗浴缸。by 周云哲,55
一对恋人牵手面对海啸到来&绘图/马良,http://image.wufazhuce.com/FgoMvoql1tosiBquKlG8u483LiNI,2 Dec 2012,今年没几个梦了，每个都必须做好。by 史航,56
向北&摄影/朱墨,http://image.wufazhuce.com/FuRbcahpbJK0mBZtDDPYGl2FmmfD,3 Dec 2012,远行前，请随我在纷乱的岁月，再羁留一会儿吧。by 钟鸣,57
一到年底，全跑了&摄影/路仁,http://image.wufazhuce.com/FkI5bY9q36tMLSAJtt67erJixi83,4 Dec 2012,长跑前要记得检查鞋带。by 《一个》编辑部,58
再见，童年&绘画/胡曦,http://image.wufazhuce.com/FnUUgM-cltcvY1p2jRFwDSYYL2hN,5 Dec 2012,五楼那只蓝胖子居然还没来表白？为什么！ by 张冠仁,59
椋鸟迁徙&摄影/Owen Humphreys,http://image.wufazhuce.com/Fm3tl29Mid3okMeiVK-mB1VjHEBA,6 Dec 2012,开始终结总是没变改，天边的你漂泊在白云外。 from《一生所爱》,60
一张老照片&绘图/老树画画,http://image.wufazhuce.com/FqjqHxPgRetFfO3zBJDGmEK8slOS,7 Dec 2012,朋友多年不见，手里一张照片。看着旧日样子，心中跟他聊天。by 老树画画,61
富士山下&摄影/杨頔,http://image.wufazhuce.com/FncpL4qBY-J4x4bGsO9HoXcQwj81,8 Dec 2012,任何一个地方都不比另一个地方拥有更多的天空。by 辛波斯卡,62
遗留在记忆里的铁皮鼓之一&绘图/黄赛峰,http://image.wufazhuce.com/FmzzPpaPqEnoF22qXnPuDQuSHxb9,9 Dec 2012,人生就是不断地放下，但痛心的是我还没来得及与他们好好告别。from《少年Pi的奇幻漂流》,63
钻石眼泪&摄影/颜妍书,http://image.wufazhuce.com/FqBXMR5zteb8d9Jkl5lYpIhslLeD,10 Dec 2012,我喜欢你是寂静的，仿佛你消失了一样。 by 聂鲁达,64
禁书&插画/刘野,http://image.wufazhuce.com/FhYSKlg-sR57c5scGy_8pdB7hJJc,11 Dec 2012,我不知道庆典之后的日子该怎么过。 by 村上龙,65
Bygones&摄影/杜扬,http://image.wufazhuce.com/Fl7LFFUpuskFL-phC-N0F8FEkUUj,12 Dec 2012,正因为痛苦难以回避，你更要在它到来时仔细端详。by 何禾,66
骷髅&插画/季大纯,http://image.wufazhuce.com/FhFFvmqAV4r1d8zqzO9HDtWgt3Vy,13 Dec 2012,我们最深的恐惧，就好像是龙，护卫着我们内心最深处的珍宝。by 里尔克,67
与众不同&摄影/第七只喵呜,http://image.wufazhuce.com/FqbtryIjb5_OG70jexeVjRqs2hbn,14 Dec 2012,十分羡慕那些算盘打得特别精的人，而我却连计算器都会按错。by 徐大发,68
出门向右就能离开这个宇宙&绘图/何禾,http://image.wufazhuce.com/FvTOGuy-0o8CXkByYAmZGCl5Kg0f,15 Dec 2012,命运的事情我管不了，它干它的，我干我的，不过是相逢一笑泯恩仇。by 周云蓬,69
一个人&摄影/贺伊曼,http://image.wufazhuce.com/FoVNatIeBxM_9n29-C4MZnRHDdTe,16 Dec 2012,繁华世界里孤独的人，就像咖啡杯里怎么搅拌也融化不掉的那支小调羹。by 金丹华。,70
那些海鸥&绘图/lisk,http://image.wufazhuce.com/FhHi7v-lJxcRihW1sJ2JzRfngd5H,17 Dec 2012,其实任何人，在经历时，都不会知道自己正在经历一生中最幸福的时刻。by 奥尔罕·帕慕克,71
Entrance~Exit&绘图/岑骏,http://image.wufazhuce.com/FpvhjJ9Dc6CclQmc-vDTHzfeeNbX,18 Dec 2012,当你年轻时，以为什么都有答案，可是老了的时候，你可能又觉得其实人生并没有所谓的答案。 from 《堕落天使》,72
他们&摄影/张晓,http://image.wufazhuce.com/Fq7uzetxmvmYGpgN_DBNrOFQGkPT,19 Dec 2012,大脑的速度一定是超时间的，所以做梦才可以梦到一生。by 察察,73
或许你需要一张船票，不带老虎&插画/何禾,http://image.wufazhuce.com/FuxNOIp3Iy4aQ1A6G4H4nlrAWTkE,20 Dec 2012,不如我们猜一猜，末日和明天哪个先到来。by「一个」工作室全体,74
音符&摄影/金怡玉玲,http://image.wufazhuce.com/Fqvlh702BoOMkUpdlvmtuuilkris,21 Dec 2012,当喜悦飞去而吻别它的人，将活在永恒的朝阳之中。by 威廉·布莱克,75
哮天犬的寇德卡&插画/周裕隆,http://image.wufazhuce.com/Fg5gePEIQt14SCvffEXbJNbDK5em,22 Dec 2012,风雨雷电，日月星辰，他们一定只是为了赶来迎接你的到来。by 一言,76
红衣&摄影/来兮,http://image.wufazhuce.com/FkLUglS3vBTFl5F5ELXQan7WSCTE,24 Dec 2012,男人也好，女人也好，如果没有自己过好日子的能力，那他也没有和别人过好日子的能力。by 梁文道,78
火车窗外&摄影/周云哲,http://image.wufazhuce.com/FhqV5ueebzQOwCTJp2XTsvbw6iRb,23 Dec 2012,无所谓从哪儿来，也无所谓到哪儿去。 为活着找个理由，只为更好的活着。From 史铁生《命若琴弦》,77
一直&绘图/张祎,http://image.wufazhuce.com/FnbPIAG2tiYudCWfT1Zjm88Rnkrb,25 Dec 2012,聪明从来都是把事情归纳得更简单。by 何禾,79
木更津&摄影/邓云,http://image.wufazhuce.com/Fmy41h8T0QltTwDdYC3TCGHg1a59,26 Dec 2012,只要想起一生中后悔的事，梅花就落满了南山。by 张枣,80
黑白灰的构图&插画/刘野,http://image.wufazhuce.com/FgjDuk8K14ay7ZHjZlBrc4F-wV4H,27 Dec 2012,我把我整个的灵魂都给你，连同它的怪癖，耍小脾气，忽明忽暗，一千八百种坏毛病。它真讨厌，只有一点好，爱你。by 王小波,81
就在这样一个背影中看尽了时光&摄影/何文韬,http://image.wufazhuce.com/FjueQpl9Qagji8neL2ZdINtKEjo5,28 Dec 2012,我注意过，即使是那些声称“一切都是命中注定的，而且我们无力改变”的人，在过马路前都会左右看。by 史蒂芬·霍金,82
骑兔子的唐吉珂德&插画/马良,http://image.wufazhuce.com/FnLTX5_8QZP3HC1CIX9U1cG578FN,29 Dec 2012,地震时天空很安全，伴侣很安全，喝醉时酒杯很安全，心很安全。by 海子,83
一个人&摄影/贺伊曼,http://image.wufazhuce.com/FvRNPi2v8WScSvuaJsf19Rxi6LDn,30 Dec 2012,孤独守着看不见的你，或者孤独失去守不住的你。爱情，怎么可能会没有悲伤。by 金丹华。,84
指偶游戏&绘图/薛杨,http://image.wufazhuce.com/Fud23oVlgQo8XP4JyNQjh8bjWltj,31 Dec 2012,人的注意力是一把匕首，不是插在别人的胸膛就是揣在自己的腰间。by 何禾,85
惊梦&绘图/我是白,http://image.wufazhuce.com/Fp-3i-pb4ja9a0npTchJI1P5z5Q_,1 Jan 2013,好吃好睡，新年快乐。by 「一个」工作室,86
向北&摄影/朱墨,http://image.wufazhuce.com/FgqJ0p7oE5a08axRGw2Ny3AN2t6m,2 Jan 2013,游子的心是风霜剥蚀的残碑，碑上已经漶漫了家乡的字迹。by 闻一多,87
黑色泳池&插画/岑骏,http://image.wufazhuce.com/FrsWN5WQsLDPlbhioNt1Giv-xjaA,3 Jan 2013,记忆往往是靠苦难建立起来的。by 黄崇凯,88
餐桌边的蓝恩先生&摄影/张文心,http://image.wufazhuce.com/FkJJ00MGVyVh6nLWnypVZoHIbkXU,4 Jan 2013,我愿意把我所有的科技去换取和苏格拉底相处的一个下午。by 史蒂夫·乔布斯,89
吃星空的大象&插画/张诗尧,http://image.wufazhuce.com/FkZNgcFFpWadWnrBXd82_9wddBE5,5 Jan 2013,我要赚钱建一个自己的小木屋，余生就在那度过……我要定个规矩，谁都不能在这做什么虚伪的事，谁要做谁就滚。from 《麦田里的守望者》,90
执念&摄影/金怡玉玲,http://image.wufazhuce.com/Fir89IUybxuMVlELiVQaQ8dn4MGb,6 Jan 2013,生活总像是个把我们击倒的敌人。但也许它更可以成为让我们倾倒的情人。by 金丹华  今日「一个」工作室专辑,91
枝儿鸟儿&绘图/Lisk,http://image.wufazhuce.com/Frnxio8ZKcYSrRhAXINdZC1tAbwf,7 Jan 2013,花开堪折直须折，莫待无花空折枝。by 杜秋娘,92
戴奥特曼面具的男子&绘图/马良,http://image.wufazhuce.com/FuZL7N_Cq2BqygG8Umn9gcOsL1e3,8 Jan 2013,热忱之心不可泯灭，相互帮助，体恤弱者，无论哪国人都可能成为朋友。不要放弃感情，纵使它被背叛过千百回。by 某个奥特曼,93
假鸟&摄影/袁小鹏,http://image.wufazhuce.com/FnH3JoMan-NYgcHQc2ek2uvqr3ai,9 Jan 2013,懂越多就越像这世界的孤儿，走越远就越明白世界本是孤儿院。by 韩寒,94
再见，童年&插画/胡曦,http://image.wufazhuce.com/FlmnfjMkkCHHWjbXdL_EkbrGZH2I,10 Jan 2013,世间所有的相遇，都是久别重逢。from《一代宗师》,95
嗨！&摄影/张丁,http://image.wufazhuce.com/FtHDxcewdvIo_d116G11Vfohvyo4,11 Jan 2013,每个人都是自己的神，爱你者的神，你所支配的世界里的神。from《我所理解的生活》,96
红蓝铅笔画&绘画/雷磊,http://image.wufazhuce.com/Fr6DsBz_I3ir0eZhCkQshEQnXHth,12 Jan 2013,有时候生活会送你一张幸运彩票，能拿到它当然很棒，但也就是如此了。by 大卫·米切尔,97
回忆里的那些小伙伴&绘画/Caca,http://image.wufazhuce.com/FqUuBJ0SXi-laJpFi5v1gniwJUzs,13 Jan 2013,风拍小帘灯晕舞，对闲影，冷清清，忆旧游。 旧游旧游今在不？花外楼，柳下舟。梦也梦也，梦不到，寒水空流。from 蒋捷《梅花引·荆溪阻雪》,98
晓东&摄影/肖勇,http://image.wufazhuce.com/FmjzHbAUoW8w7Ngd564hFTJzrsaf,14 Jan 2013,"那时我们有梦,关于文学,关于爱情,关于穿越世界的旅行。如今我们深夜饮酒,杯子碰到一起,都是梦破碎的声音。by 北岛",99
free park&绘图/袁小鹏,http://image.wufazhuce.com/FhK5fcUK5G5UI4t4esSvhV-uBtPT,16 Jan 2013,太平盛时，人易为乐。from 《马伶传》,101
这个文艺的盒子，你已经打开100次&绘图/何禾,http://image.wufazhuce.com/FkSbnAbsmQWis2YudS7GBTER4DlT,15 Jan 2013,尽管有天我们会变老，老得可能都模糊了眼睛，但是我要写出人间最美丽的歌送给你。from 陈升《不再让你孤单》【往期精选】,100
热气球&摄影/杨頔,http://image.wufazhuce.com/FmNnpniUEudBGkCbKh4Y1A663ekQ,17 Jan 2013,生命短促，没有时间可以再浪费，一切随心自由才是应该努力去追求的，别人如何想我便是那么的无足轻重了。by 三毛,102
寒冬夜行人&插画/葵绿,http://image.wufazhuce.com/Ft8baruGGveXzycT-JM5ADcNXlvP,18 Jan 2013,没有不可治愈的伤痛，没有不能结束的沉沦，所有失去的，会以另一种方式归来。by 约翰•肖尔斯,103
Decisive Swine&摄影/编号223,http://image.wufazhuce.com/FnX57YxgqlsVHK60FIM5vB-jf_7S,19 Jan 2013,我就是我。如果必须以头撞墙来真实待己，那么我愿意。by 马龙·白兰度,104
一个恶梦而已&插画/我是白,http://image.wufazhuce.com/Fs0XeJ376T1Yo96Aq6uqsWax-1yE,20 Jan 2013,一枝枯萎的鲜花，不会再盛开。人、鸟、虫……光辉的星星都只有一次生命。by 白银圣斗士奥路菲,105
没倒&绘图/刘野,http://image.wufazhuce.com/FoMOm-LCnBjQeQBWyZFOXBI_gRKl,21 Jan 2013,谁陪你一起长大，谁就是你的朋友。by 小饭【往期精选】,106
鼓浪石&摄影/黄京,http://image.wufazhuce.com/FkRVnefU8VXEP-nqiKI7Yw7HTS1j,22 Jan 2013,你看过了许多美景，你看过了许多美女，你迷失在地图上每一道短暂的光阴。 from 陈绮贞《旅行的意义》,107
若我已逝&插画/so.p,http://image.wufazhuce.com/Fpr5DMLZoyqqsbrzhtoVLlFHpQpx,23 Jan 2013,你不会失去从来就没占有过的东西。by 托妮·莫里森,108
片段&摄影/贺伊曼,http://image.wufazhuce.com/FrsXyQPNicEO5UqiiAuhJ_E7l_wG,24 Jan 2013,你要知道，你的头脑，你的内心，不是酒店的厨房，可以把里面的东西像旧罐头一样扔掉。它更像是一条河流，每时每刻都在流动和变化。你无法矫直一条河流。by 伊恩·麦克尤恩,109
大象想要离开水中&插画/张祎,http://image.wufazhuce.com/Fjr8zA2WtVLdHSvvXCxbeIobZoNo,25 Jan 2013,温柔要有，但不是妥协，我们要在安静中，不慌不忙地坚强。by 林徽因,110
马什哈德火车站&摄影/穷游悟空,http://image.wufazhuce.com/FozrHvoM4OTxZfHu8M4JvSpS_MhC,26 Jan 2013,当头发已斑白的时候，你是否还依然能牢记我。from 陈升《然而》,111
纽约纽约&摄影/祁明远,http://image.wufazhuce.com/Fvz4rjx58UwSG2plu6LyLnV5EFyS,28 Jan 2013,世界上有207个主权国家，大概有180个是自由的。from 《新闻编辑室》,113
寂寞先生&摄影/一言,http://image.wufazhuce.com/FoKD0wXYmbecPQWtJpeBHxoIJymd,27 Jan 2013,珍惜黄昏的村庄，珍惜雨水的村庄，万里无云如同我永恒的悲伤。from 海子《村庄》,112
白鸽&绘图/朱帆,http://image.wufazhuce.com/FrTwgn54vfNxk9-dhjPbhfUJieaO,29 Jan 2013,暴躁是人类卑劣天性之一，发脾气就等于在人类进步的阶梯上倒退一步。by 达尔文【往期精选】,114
野花&摄影/贾睿,http://image.wufazhuce.com/FsGqHZ_MaRqcgbYgrL1EwknWD_C4,30 Jan 2013,但愿爱像割过的草地一样会重新长出来。应该以别样的方式生长，好比小孩子换牙，好比头发，好比指甲。它应该按自己的意愿生长。by 赫塔·米勒,115
与春天有关&插画/lisk,http://image.wufazhuce.com/FjHbeRJB9Ux5-o1E52ffHwRdvK1D,31 Jan 2013,真正重要的东西，总是没有的人比拥有的人更清楚，所以，可要好好珍惜啊。from《银魂》,116
依乐琪&摄影/张丁,http://image.wufazhuce.com/FvZIjUD-ktgZ0m73zpQgfmjJ3h74,1 Feb 2013,以外表选朋友，以智慧选敌人。你太聪明，不能当朋友。from 《天堂电影院》,117
鲸鱼&插画/陈鸿,http://image.wufazhuce.com/Fqv3lH5dfbBHSi1sQWs4cEj2XsLP,2 Feb 2013,没有以前的过去，就不会成就现在的自己。by 萧敬腾,118
一枝大枣&绘图/老树画画,http://image.wufazhuce.com/FhclX42WUPpN2Zkk8lvUKUa5m3p4,3 Feb 2013,世上的人可以分为两大类：一种人有朋友，另一种人很寂寞。from 《黄金三镖客》,119
77和hana&摄影/Madi Ju,http://image.wufazhuce.com/FqHytpLpE2xA4wSFpWo6jNxQ_mwe,4 Feb 2013,一个人假装开心，但声音就装不了。细心一听就知道了。from 《春光乍泄》,120
在路上&摄影/金怡玉玲,http://image.wufazhuce.com/FvgntdMIScKKyXiMb8coS1JonCbu,5 Feb 2013,没有“生活”，从来只有“忍耐”。by 贺伊曼,121
寒冬夜行人&绘图/葵绿,http://image.wufazhuce.com/Flvo4gXSI-J1wTBmvnFQ-qUn9XRL,6 Feb 2013,我们是夏天的爱人，冬天只是一个童话。by 顾城,122
我们仨&摄影/维城乱马,http://image.wufazhuce.com/FqmRZhrwN5EFpcTtlORuz8-tzDA2,7 Feb 2013,交流是通往爱的唯一途径。by 卡森·麦卡勒斯,123
遗留在记忆里的铁皮鼓&油画/黄赛峰,http://image.wufazhuce.com/FpX6KzMZkMjhHnuiGyMsdAo3eKAG,8 Feb 2013,人类之所以有进步的主要原因是下一代不听上一代的话。by 倪匡,124
很高兴，见到你&摄影/韩寒,http://image.wufazhuce.com/FhYfSWwiRTJDDa-Sdqs1UHseB0Yk,9 Feb 2013,岁月掩不住爹娘淳朴的笑容，梦中的姑娘依然长发迎空。from 罗大佑《鹿港小镇》,125
瑞雪&摄影/韩寒,http://image.wufazhuce.com/FkU0Jg1O4_fTFHU5L_pHQDdC-51v,10 Feb 2013,旧年山中知雪重，新春世间觉情浓。「一个」工作室祝大家春节快乐！,126
好小猫&绘图/顾湘,http://image.wufazhuce.com/Fu6BNMWezdGqXjwfWTFeY_PhkLQZ,11 Feb 2013,心也甘情也愿，才叫不浪费生命。by 小饭,127
离奇事物&绘图/我是白,http://image.wufazhuce.com/Fs7q2Im0VZm-lPsaYpSLFxnpI-tj,12 Feb 2013,与人相处，或许参考天体力学是一个好办法，因为天上的星星们一直很融洽。by 何禾,128
没人肯投资一个会醒的梦&绘图/慕容引刀,http://image.wufazhuce.com/FmvYK4v3M-Tu5sIu-c-JUtDIjCZb,13 Feb 2013,我们的生命是不朽的，我们所说的话，所做的事，将会影响我们的每一次人生。from《云图》,129
一支舞的爱人&摄影/白一萌,http://image.wufazhuce.com/FjjdzByeqPBqGRGApo0BHb7Hj-hJ,14 Feb 2013,爱可以抵御风雪，爱可以挽救一切。「一个」工作室祝天下有情人终成眷属！,130
